episode_id,x_i,y_i,z_i,x_final,y_final,z_final,time_to_land,success,total_reward,n_transitions,n_hard,landing_error,terminal_reward,final_roll,final_pitch,final_yaw
1,-74.6338,77.6629,90.0,-74.8171,77.6782,88.0861,3.0639,Success,8.046,416,55,5.834,35.0,-0.001419,0.004258,-8e-06
2,-70.0221,75.142,90.0,-70.2056,75.1575,88.104,3.0708,Success,203.7241,873,82,9.7957,20.0,-0.001439,0.004243,-1.1e-05
3,-78.2772,68.5744,90.0,-78.4607,68.5911,88.1356,3.0734,Success,125.3114,924,207,6.5911,35.0,-0.001481,0.004242,-2e-06
4,-76.3266,78.7079,80.0,-76.5111,78.7222,78.2496,3.0799,Success,199.1011,1183,186,5.1017,35.0,-0.001302,0.004263,4e-06
5,-76.179,68.1736,80.0,-76.3633,68.1856,78.3058,3.0729,Success,8.3955,904,153,7.7241,20.0,-0.001174,0.00426,1e-06
6,-87.7617,84.9156,80.0,-87.9459,84.9293,78.2498,3.0749,Success,-33.5954,943,307,12.7173,10.0,-0.001189,0.004261,9e-06
7,-78.332,84.2252,80.0,-78.516,84.2393,78.2759,3.0723,Success,-50.4651,954,377,9.3577,20.0,-0.001292,0.004251,3e-06
8,-82.5726,83.0897,70.0,-82.7572,83.1005,68.3512,3.0751,Success,-45.0512,959,410,8.5569,20.0,-0.000901,0.004279,1.5e-05
9,-78.6009,65.044,70.0,-78.7854,65.0539,68.3839,3.0711,Success,-41.6949,768,494,10.02,20.0,-0.000832,0.004276,1.6e-05
10,-79.2303,80.8176,70.0,-79.4145,80.8288,68.3247,3.0706,Success,-28.9068,809,439,5.8581,35.0,-0.000891,0.004273,1.6e-05
11,-76.9418,77.856,80.0,-77.1256,77.8718,78.2322,3.0713,Success,-12.5764,778,325,4.0632,35.0,-0.001356,0.004251,5e-06
12,-80.3033,79.7756,90.0,-80.4875,79.79,88.2945,3.0713,Success,29.083,909,180,4.8148,35.0,-0.001334,0.004253,-0.0
13,-83.6947,84.0771,80.0,-83.8788,84.0915,78.2296,3.0739,Success,31.908,1009,157,9.8843,20.0,-0.001225,0.004259,1e-05
14,-71.3082,67.5084,70.0,-71.4926,67.5192,68.3552,3.0717,Success,-41.3148,938,350,11.3287,20.0,-0.000918,0.004273,1.3e-05
15,-78.6512,74.7478,70.0,-78.8357,74.7585,68.3851,3.0734,Success,-7.0117,854,320,1.1891,50.0,-0.000885,0.004276,1.6e-05
16,-78.3939,73.9447,90.0,-78.5772,73.9623,88.1731,3.0664,Success,200.7973,528,36,1.761,50.0,-0.001558,0.004237,-5e-06
17,-86.3619,68.6115,80.0,-86.546,68.6247,78.2928,3.0688,Success,264.8064,744,94,9.1376,20.0,-0.001194,0.004256,8e-06
18,-71.4238,67.147,90.0,-71.6077,67.1639,88.1178,3.0751,Success,19.732,904,215,11.482,20.0,-0.001512,0.004248,-8e-06
19,-83.7077,84.4476,80.0,-83.8918,84.4611,78.2046,3.0771,PartialSuccess,-27.9331,1238,240,10.2303,25.0,-0.001171,0.004259,7e-06
20,-74.4963,71.5386,80.0,-74.6804,71.5551,78.2465,3.0748,Success,-26.9951,934,372,6.3377,35.0,-0.001454,0.004254,3e-06
1,-76.6527,84.0604,90.0,-76.8364,84.0745,88.198,3.0675,Success,-75.1924,641,378,9.6101,20.0,-0.001329,0.004252,-6e-06
2,-77.7423,84.5406,80.0,-77.926,84.5525,78.1454,3.0727,Success,13.1643,983,112,9.7751,20.0,-0.00112,0.004253,0.0
3,-71.0311,68.4492,90.0,-71.2151,68.4648,88.1782,3.0721,Success,-48.1769,949,395,10.9491,20.0,-0.001402,0.004249,-4e-06
4,-84.0499,80.5533,90.0,-84.234,80.5694,88.1296,3.0775,Success,236.0739,1094,114,6.9961,35.0,-0.001423,0.004255,-5e-06
5,-89.1654,81.4298,80.0,-89.3498,81.4419,78.3077,3.076,Success,49.5857,1043,94,11.3542,20.0,-0.0011,0.004268,8e-06
6,-71.5978,71.5416,70.0,-71.7816,71.5507,68.2195,3.0706,Success,-3.797,854,110,8.9129,20.0,-0.000822,0.004265,9e-06
7,-84.3826,69.023,70.0,-84.5672,69.0332,68.4,3.0712,Success,86.0619,783,161,7.5141,20.0,-0.000986,0.004272,1e-05
8,-82.5754,68.3483,80.0,-82.7598,68.3595,78.3323,3.0706,Success,-25.7299,894,140,7.1912,20.0,-0.001068,0.004267,6e-06
9,-80.3555,73.8836,90.0,-80.5398,73.899,88.2675,3.0745,Success,63.202,904,246,1.2262,50.0,-0.001437,0.004252,-1e-06
10,-80.9926,71.631,70.0,-81.177,71.6397,68.4167,3.0698,Success,378.8506,713,78,3.5605,35.0,-0.000777,0.004278,1.3e-05
11,-86.1029,77.2302,90.0,-86.2865,77.2474,88.1826,3.0689,Success,153.0409,744,119,6.6762,35.0,-0.001517,0.004243,-4e-06
12,-76.0756,70.5051,90.0,-76.2604,70.5155,88.3161,3.0737,Success,323.1937,978,71,5.8392,35.0,-0.001118,0.004262,-5e-06
13,-79.4101,71.2865,70.0,-79.5948,71.2975,68.3967,3.0754,Success,231.468,994,139,3.7246,35.0,-0.000893,0.004281,1.7e-05
14,-77.5298,70.207,70.0,-77.7138,70.2186,68.3511,3.0695,Success,114.4376,758,97,5.2998,35.0,-0.000966,0.004266,1.6e-05
15,-84.5787,72.9231,90.0,-84.7626,72.9376,88.2171,3.0711,Success,12.332,768,209,5.1899,35.0,-0.001329,0.004252,-3e-06
16,-83.2115,70.2227,80.0,-83.3953,70.2381,78.2336,3.071,Success,99.5135,759,57,5.8484,35.0,-0.001366,0.00425,3e-06
17,-80.3145,69.9172,80.0,-80.4987,69.9314,78.2897,3.0736,Success,76.4124,883,118,5.0931,35.0,-0.001294,0.004256,2e-06
18,-89.1342,78.8459,90.0,-89.3179,78.8622,88.1822,3.0728,Success,48.7777,889,131,10.0866,20.0,-0.001462,0.004247,-3e-06
19,-73.5397,79.1187,90.0,-73.7233,79.1347,88.1602,3.0709,Success,143.5313,903,65,7.5161,20.0,-0.001465,0.004244,-5e-06
20,-89.128,66.8092,80.0,-89.3118,66.8247,78.2024,3.0718,Success,68.4025,1024,106,12.3913,10.0,-0.00136,0.004249,4e-06
1,-78.4792,80.234,80.0,-78.6625,80.2487,78.2172,3.0654,Success,-51.1348,487,305,5.4164,35.0,-0.001303,0.004249,5e-06
2,-70.2187,73.1322,90.0,-70.4031,73.1458,88.2725,3.0737,Success,-20.4871,918,272,9.7744,20.0,-0.00129,0.00426,-3e-06
3,-76.2972,79.4915,90.0,-76.4808,79.5074,88.1429,3.0692,Success,114.6641,804,111,5.7185,35.0,-0.001433,0.004248,-3e-06
4,-78.6687,77.5807,70.0,-78.8529,77.5915,68.2954,3.0724,Success,115.2441,1018,78,2.834,50.0,-0.000874,0.004271,1.4e-05
5,-76.7439,77.1816,80.0,-76.9277,77.1977,78.219,3.0724,Success,24.8448,774,217,3.7774,35.0,-0.001348,0.004253,6e-06
6,-87.7081,73.7202,80.0,-87.8921,73.7337,78.2827,3.0742,Success,33.8222,894,167,7.9931,20.0,-0.001172,0.004263,9e-06
7,-88.1973,80.0713,90.0,-88.3814,80.085,88.2597,3.0702,Success,351.1812,853,97,9.8033,20.0,-0.001285,0.004254,1e-06
8,-87.8637,74.1381,70.0,-88.048,74.1511,68.2552,3.0762,Success,87.5586,1014,63,8.0927,20.0,-0.001106,0.004261,1.2e-05
9,-84.399,81.7715,90.0,-84.5825,81.7868,88.1841,3.0691,Success,128.2346,688,65,8.189,20.0,-0.001396,0.004246,-4e-06
10,-82.3854,68.6936,90.0,-82.569,68.7109,88.1698,3.0737,Success,33.2142,1054,171,6.7935,35.0,-0.001538,0.004245,-6e-06
11,-85.4815,70.3149,70.0,-85.6657,70.3271,68.3515,3.0716,Success,70.6801,999,107,7.3441,20.0,-0.000952,0.004271,1.9e-05
12,-72.4879,67.8339,80.0,-72.6721,67.8468,78.2917,3.0707,Success,66.7528,888,117,10.2404,20.0,-0.001223,0.004256,2e-06
13,-70.9091,84.0037,90.0,-71.0934,84.0199,88.2511,3.077,Success,-51.4534,964,252,12.6763,10.0,-0.001481,0.004251,-3e-06
14,-72.6823,71.1188,80.0,-72.8665,71.1324,78.284,3.077,Success,-5.4145,1063,241,8.1146,20.0,-0.001237,0.004255,4e-06
15,-78.864,79.4943,80.0,-79.0478,79.5101,78.231,3.0708,Success,146.9722,904,178,4.6095,35.0,-0.001335,0.00425,8e-06
